binCenterName,extractedWeight,manualWeight,collectionTime,cleanedWeight
2. UTown Residence - North Tower,360,160,5/2/2025 8:01,360
1. UTown Residence - South Tower,608,280,5/2/2025 8:03,600
3. Tembusu/Cinnamon College,1140,440,5/2/2025 8:09,1140
6. Yale-NUS - 28 College Ave West,1880,100,5/2/2025 8:18,1880
5. Yale-NUS - 12 College Ave West,2180,220,5/2/2025 8:20,2100
5. Yale-NUS - 12 College Ave West,20,20,7/2/2025 7:57,20
1. UTown Residence - South Tower,340,340,7/2/2025 8:02,340
2. UTown Residence - North Tower,520,220,7/2/2025 8:05,520
2. UTown Residence - North Tower,1000,340,7/2/2025 8:09,1000
2. UTown Residence - North Tower,1580,900,7/2/2025 8:14,1580
5. Yale-NUS - 12 College Ave West,1960,240,7/2/2025 8:19,1960
6. Yale-NUS - 28 College Ave West,2060,120,7/2/2025 8:22,2060
6. Yale-NUS - 28 College Ave West,1100,1100,8/2/2025 7:47,1100
1. UTown Residence - South Tower,1240,140,8/2/2025 7:55,1240
2. UTown Residence - North Tower,1500,260,8/2/2025 7:59,1500
3. Tembusu/Cinnamon College,2140,540,8/2/2025 8:05,2140
4. College of Alice and Peter Tan/RC4,2680,420,8/2/2025 8:12,2680
6. Yale-NUS - 28 College Ave West,2880,80,8/2/2025 8:17,2880
5. Yale-NUS - 12 College Ave West,3260,280,8/2/2025 8:23,3260
1. UTown Residence - South Tower,1160,120,9/2/2025 8:04,1160
2. UTown Residence - North Tower,1360,260,9/2/2025 8:07,1360
3. Tembusu/Cinnamon College,1740,260,9/2/2025 8:12,1740
4. College of Alice and Peter Tan/RC4,1960,280,9/2/2025 8:14,1960
6. Yale-NUS - 28 College Ave West,2140,120,9/2/2025 8:18,2140
5. Yale-NUS - 12 College Ave West,2420,160,9/2/2025 8:23,2420
NUS - Use for Reference Weight,-20,20,10/2/2025 7:30,-20
1. UTown Residence - South Tower,420,220,10/2/2025 7:56,420
1. UTown Residence - South Tower,680,240,10/2/2025 7:58,680
3. Tembusu/Cinnamon College,1020,260,10/2/2025 8:04,1020
4. College of Alice and Peter Tan/RC4,1480,340,10/2/2025 8:10,1480
6. Yale-NUS - 28 College Ave West,1840,80,10/2/2025 8:16,1840
5. Yale-NUS - 12 College Ave West,1920,160,10/2/2025 8:17,1920
1. UTown Residence - South Tower,1020,220,11/2/2025 8:06,1020
2. UTown Residence - North Tower,1280,300,11/2/2025 8:10,1280
3. Tembusu/Cinnamon College,1960,580,11/2/2025 8:16,1960
4. College of Alice and Peter Tan/RC4,2660,580,11/2/2025 8:23,2660
6. Yale-NUS - 28 College Ave West,2920,240,11/2/2025 8:26,2920
5. Yale-NUS - 12 College Ave West,3340,420,11/2/2025 8:32,3340
NUS - Use for Reference Weight,140,140,12/2/2025 8:14,140
1. UTown Residence - South Tower,260,260,12/2/2025 8:17,260
2. UTown Residence - North Tower,520,520,12/2/2025 8:21,520
3. Tembusu/Cinnamon College,1500,1500,12/2/2025 8:27,1500
4. College of Alice and Peter Tan/RC4,1860,1860,12/2/2025 8:30,1860
4. College of Alice and Peter Tan/RC4,2220,2220,12/2/2025 8:33,2220
6. Yale-NUS - 28 College Ave West,2580,2580,12/2/2025 8:40,2580
5. Yale-NUS - 12 College Ave West,2940,2940,12/2/2025 8:44,2940
NUS - Use for Reference Weight,880,880,13/2/2025 8:06,880
1. UTown Residence - South Tower,1020,1020,13/2/2025 8:09,1020
2. UTown Residence - North Tower,1280,1280,13/2/2025 8:12,1200
3. Tembusu/Cinnamon College,2100,2100,13/2/2025 8:17,2100
4. College of Alice and Peter Tan/RC4,2700,2700,13/2/2025 8:23,2700
6. Yale-NUS - 28 College Ave West,3240,3240,13/2/2025 8:29,3240
5. Yale-NUS - 12 College Ave West,3340,3340,13/2/2025 8:30,3340
NUS - Use for Reference Weight,240,240,14/2/2025 7:57,240
1. UTown Residence - South Tower,440,440,14/2/2025 8:00,440
2. UTown Residence - North Tower,800,800,14/2/2025 8:05,800
3. Tembusu/Cinnamon College,1480,1480,14/2/2025 8:10,1480
